Date,Open,High,Low,Close,Adj Close,Volume
1998-05-11,17.120001,17.120001,17.120001,17.120001,11.426715,0
1998-05-12,17.260000,17.260000,17.260000,17.260000,11.520161,0
1998-05-13,17.309999,17.309999,17.309999,17.309999,11.553534,0
1998-05-14,17.290001,17.290001,17.290001,17.290001,11.540184,0
1998-05-15,17.160000,17.160000,17.160000,17.160000,11.453413,0
1998-05-18,17.120001,17.120001,17.120001,17.120001,11.426715,0
1998-05-19,17.170000,17.170000,17.170000,17.170000,11.460087,0
1998-05-20,17.320000,17.320000,17.320000,17.320000,11.560206,0
1998-05-21,17.250000,17.250000,17.250000,17.250000,11.513484,0
1998-05-22,17.190001,17.190001,17.190001,17.190001,11.473438,0
1998-05-26,16.940001,16.940001,16.940001,16.940001,11.306577,0
1998-05-27,16.910000,16.910000,16.910000,16.910000,11.286552,0
1998-05-28,16.990000,16.990000,16.990000,16.990000,11.339947,0
1998-05-29,16.889999,16.889999,16.889999,16.889999,11.273203,0
1998-06-01,16.900000,16.900000,16.900000,16.900000,11.279880,0
1998-06-02,16.930000,16.930000,16.930000,16.930000,11.299901,0
1998-06-03,16.770000,16.770000,16.770000,16.770000,11.193110,0
1998-06-04,16.959999,16.959999,16.959999,16.959999,11.319925,0
1998-06-05,17.250000,17.250000,17.250000,17.250000,11.513484,0
1998-06-08,17.280001,17.280001,17.280001,17.280001,11.533509,0
1998-06-09,17.320000,17.320000,17.320000,17.320000,11.560206,0
1998-06-10,17.230000,17.230000,17.230000,17.230000,11.500136,0
1998-06-11,16.959999,16.959999,16.959999,16.959999,11.319925,0
1998-06-12,17.030001,17.030001,17.030001,17.030001,11.366647,0
1998-06-15,16.690001,16.690001,16.690001,16.690001,11.139715,0
1998-06-16,16.850000,16.850000,16.850000,16.850000,11.246506,0
1998-06-17,17.160000,17.160000,17.160000,17.160000,11.453413,0
1998-06-18,17.139999,17.139999,17.139999,17.139999,11.440063,0
1998-06-19,17.059999,17.059999,17.059999,17.059999,11.386668,0
1998-06-22,17.100000,17.100000,17.100000,17.100000,11.413368,0
1998-06-23,17.350000,17.350000,17.350000,17.350000,11.580233,0
1998-06-24,17.559999,17.559999,17.559999,17.559999,11.720392,0
1998-06-25,17.500000,17.500000,17.500000,17.500000,11.680346,0
1998-06-26,17.559999,17.559999,17.559999,17.559999,11.720392,0
1998-06-29,17.650000,17.650000,17.650000,17.650000,11.780465,0
1998-06-30,17.570000,17.570000,17.570000,17.570000,11.727068,0
1998-07-01,17.799999,17.799999,17.799999,17.799999,11.880580,0
1998-07-02,17.770000,17.770000,17.770000,17.770000,11.860557,0
1998-07-06,17.940001,17.940001,17.940001,17.940001,11.974025,0
1998-07-07,17.900000,17.900000,17.900000,17.900000,11.947326,0
1998-07-08,18.090000,18.090000,18.090000,18.090000,12.074140,0
1998-07-09,17.969999,17.969999,17.969999,17.969999,11.994047,0
1998-07-10,18.059999,18.059999,18.059999,18.059999,12.054117,0
1998-07-13,18.070000,18.070000,18.070000,18.070000,12.060791,0
1998-07-14,18.260000,18.260000,18.260000,18.260000,12.187607,0
1998-07-15,18.219999,18.219999,18.219999,18.219999,12.160909,0
1998-07-16,18.360001,18.360001,18.360001,18.360001,12.254355,0
1998-07-17,18.400000,18.400000,18.400000,18.400000,12.281050,0
1998-07-20,18.360001,18.360001,18.360001,18.360001,12.254355,0
1998-07-21,18.070000,18.070000,18.070000,18.070000,12.060791,0
1998-07-22,18.049999,18.049999,18.049999,18.049999,12.047441,0
1998-07-23,17.680000,17.680000,17.680000,17.680000,11.800488,0
1998-07-24,17.690001,17.690001,17.690001,17.690001,11.807162,0
1998-07-27,17.790001,17.790001,17.790001,17.790001,11.873907,0
1998-07-28,17.530001,17.530001,17.530001,17.530001,11.700375,0
1998-07-29,17.450001,17.450001,17.450001,17.450001,11.646976,0
1998-07-30,17.730000,17.730000,17.730000,17.730000,11.833861,0
1998-07-31,17.379999,17.379999,17.379999,17.379999,11.600252,0
1998-08-03,17.260000,17.260000,17.260000,17.260000,11.520161,0
1998-08-04,16.629999,16.629999,16.629999,16.629999,11.099666,0
1998-08-05,16.780001,16.780001,16.780001,16.780001,11.199783,0
1998-08-06,16.910000,16.910000,16.910000,16.910000,11.286552,0
